Player,Poss,PPP,PPS,Team,conf
Nicole Stephens,7.3,0.791,0.88,Dayton Flyers,A10
Shannon Wheeler,4.0,0.795,0.74,Dayton Flyers,A10
Paula Suarez,9.5,0.796,0.91,George Mason Patriots,A10
Irene Murua Txintxurreta,4.7,0.8,0.92,Fordham Rams,A10
Nalani Kaysia,5.8,0.801,0.82,George Mason Patriots,A10
Mackenzie Pettinelli,5.4,0.807,0.98,St. Bonaventure Bonnies,A10
Kira Chivers,5.8,0.807,0.96,Loyola (Chicago) Ramblers,A10
Momo LaClair,4.2,0.81,0.88,Massachusetts Minutewomen,A10
Ta'Viyanna Habib,5.7,0.814,0.91,George Mason Patriots,A10
Nekhu Mitchell,4.6,0.816,0.87,George Mason Patriots,A10
Sophia Vital,7.1,0.826,0.95,Rhode Island Rams,A10
Ayisse Magassa,4.7,0.827,0.86,La Salle Explorers,A10
Mariona Fortuny,4.9,0.831,1.02,George Washington Revolutionaries,A10
Alyssa Jimenez,5.3,0.838,1.0,Richmond Spiders,A10
Dani Haskell,8.6,0.838,0.91,St. Bonaventure Bonnies,A10
Payton Fields,4.6,0.863,0.95,St. Bonaventure Bonnies,A10
Anna Przyszlak,4.2,0.863,0.89,La Salle Explorers,A10
Gabby Hutcherson,4.6,0.869,0.94,Duquesne Dukes,A10
Ines Debroise,4.8,0.881,0.99,Rhode Island Rams,A10
Brooklyn Gray,6.4,0.894,1.02,Saint Louis Billikens,A10
Gabby Casey,5.4,0.897,0.99,Saint Joseph's Hawks,A10
Nadechka Laccen,4.5,0.9,0.88,St. Bonaventure Bonnies,A10
Megan Mcconnell,7.6,0.904,1.0,Duquesne Dukes,A10
Peyton Kennedy,5.3,0.914,0.99,Saint Louis Billikens,A10
Sitori Tanin,4.9,0.918,0.97,Loyola (Chicago) Ramblers,A10
Maxine Engel,5.9,0.939,1.03,George Washington Revolutionaries,A10
Caitlin Frost,8.3,0.945,0.99,St. Bonaventure Bonnies,A10
Jess Finney,4.3,0.946,1.08,Loyola (Chicago) Ramblers,A10
Aryss Macktoon,6.4,0.957,1.16,La Salle Explorers,A10
Isabellah Middleton,7.3,0.966,1.0,St. Bonaventure Bonnies,A10
Hannah Richardson,5.0,0.969,1.04,St. Bonaventure Bonnies,A10
Morgan Matthews,5.1,1.012,1.15,George Washington Revolutionaries,A10
Marta Jaama,2.0,0.0,0.0,Columbia Lions,IVY
Toby Nweke,3.5,0.454,0.45,Princeton Tigers,IVY
Mackenzie Leahy,2.5,0.508,0.5,Brown Bears,IVY
Lizzy Groetsch,2.4,0.565,0.5,Pennsylvania Quakers,IVY
Grace Arnolie,7.7,0.604,0.64,Brown Bears,IVY
Alayna Rocco,2.4,0.614,0.64,Harvard Crimson,IVY
Tina Njike,2.0,0.619,0.69,Pennsylvania Quakers,IVY
Tabitha Amanze,2.8,0.62,0.73,Princeton Tigers,IVY
Harmoni Turner,6.9,0.622,0.66,Harvard Crimson,IVY
Ana Guillen,4.0,0.625,0.61,Yale Bulldogs,IVY
Skye Belker,7.0,0.633,0.72,Princeton Tigers,IVY
Madison St. Rose,6.3,0.64,0.8,Princeton Tigers,IVY
Doreen Ariik,2.7,0.667,0.69,Dartmouth Big Green,IVY
Karlee White,4.7,0.672,0.69,Harvard Crimson,IVY
Clare Meyer,5.3,0.674,0.7,Dartmouth Big Green,IVY
Victoria Page,7.6,0.68,0.81,Dartmouth Big Green,IVY
Marija Avlijas,6.5,0.682,0.74,Columbia Lions,IVY
Saniyah Glenn-Bello,5.0,0.684,0.67,Harvard Crimson,IVY
Perri Page,4.7,0.694,0.83,Columbia Lions,IVY
Gianna Aiello,7.9,0.697,0.73,Brown Bears,IVY
Alyssa Moreland,4.2,0.704,0.74,Brown Bears,IVY
Katie Krupa,3.5,0.705,0.74,Harvard Crimson,IVY
Cecelia Collins,5.0,0.707,0.8,Columbia Lions,IVY
Kelsey Langston,6.7,0.707,0.79,Cornell Big Red,IVY
Katie Collins,9.7,0.708,0.76,Pennsylvania Quakers,IVY
Mia Broom,4.3,0.727,0.87,Columbia Lions,IVY
Grace Thybulle,3.7,0.728,0.78,Yale Bulldogs,IVY
Azareya Kilgoe,6.1,0.729,0.85,Cornell Big Red,IVY
Olivia Hutcherson,8.0,0.744,0.79,Princeton Tigers,IVY
Lydia Chatira,4.9,0.746,0.78,Harvard Crimson,IVY
Nasi Simmons,3.4,0.753,0.81,Columbia Lions,IVY
Abigail Wright,2.4,0.757,0.73,Harvard Crimson,IVY
Isabella Mauricio,7.3,0.761,0.87,Brown Bears,IVY
Summer ParkerHall,6.2,0.764,0.79,Cornell Big Red,IVY
Kitty Henderson,7.1,0.765,0.86,Columbia Lions,IVY
Zeynep Ozel,5.0,0.767,0.93,Dartmouth Big Green,IVY
Olivia Young,6.9,0.768,0.81,Brown Bears,IVY
Mataya  Gayle,7.5,0.775,0.79,Pennsylvania Quakers,IVY
Elena Rodriguez,4.5,0.786,0.81,Harvard Crimson,IVY
Gabby Anderson,4.1,0.788,0.87,Harvard Crimson,IVY
Gia Powell,5.4,0.789,0.79,Brown Bears,IVY
Clarke Jackson,6.8,0.792,0.89,Cornell Big Red,IVY
Saniah Caldwell,5.4,0.795,0.86,Pennsylvania Quakers,IVY
Aima Ofunrein,3.1,0.795,0.84,Brown Bears,IVY
Nina Minicozzi,4.8,0.798,0.86,Dartmouth Big Green,IVY
Cristina Parrella,4.2,0.802,0.83,Princeton Tigers,IVY
Tahira Muhammad,2.9,0.803,0.9,Dartmouth Big Green,IVY
Paige Engels,6.0,0.814,0.84,Cornell Big Red,IVY
Fadima Tall,5.6,0.816,0.92,Princeton Tigers,IVY
Alexandra Eldredge,5.5,0.817,0.86,Dartmouth Big Green,IVY
Riley Weiss,5.3,0.817,0.9,Columbia Lions,IVY
Stina Almqvist,9.6,0.822,0.85,Pennsylvania Quakers,IVY
Olivia Austin,5.1,0.825,0.88,Dartmouth Big Green,IVY
Simone Sawyer,5.2,0.836,0.88,Pennsylvania Quakers,IVY
Magdalena Schmidt,2.1,0.848,0.88,Yale Bulldogs,IVY
Beth Nelson,5.6,0.848,0.9,Brown Bears,IVY
Vivienne Knee,2.8,0.859,0.9,Cornell Big Red,IVY
Cate MacDonald,4.8,0.86,0.86,Dartmouth Big Green,IVY
Mady Calhoun,2.4,0.863,1.0,Brown Bears,IVY
Marisa Chapman,6.7,0.869,0.88,Yale Bulldogs,IVY
Avery Lee,6.0,0.871,0.95,Yale Bulldogs,IVY
Susannah Rafiu,5.8,0.877,0.94,Columbia Lions,IVY
Parker Hill,6.1,0.892,0.92,Princeton Tigers,IVY
Ciniya Moore,5.0,0.901,0.94,Yale Bulldogs,IVY
Kiley Capstraw,5.2,0.907,0.93,Yale Bulldogs,IVY
Ke’iara Odume,4.2,0.908,0.96,Yale Bulldogs,IVY
Ashley Chea,6.2,0.911,0.94,Princeton Tigers,IVY
Sarah Miller,2.4,0.926,1.02,Pennsylvania Quakers,IVY
Mackenzie Egger,8.5,0.937,1.04,Yale Bulldogs,IVY
Emily Pape,5.8,0.949,0.97,Cornell Big Red,IVY
Maria Arrebola,2.4,0.985,1.08,Columbia Lions,IVY
Rachel Kaus,5.5,0.993,1.05,Cornell Big Red,IVY
Christen Mccann,2.0,1.0,1.33,Yale Bulldogs,IVY
Amelia Osgood,2.8,1.051,1.19,Princeton Tigers,IVY
Sierra Carson,2.0,1.089,1.24,Dartmouth Big Green,IVY
Jeniah Thompson,5.3,0.548,0.54,Southern Illinois Salukis,MVC
Kyrah Daniels,7.9,0.596,0.61,Missouri State Lady Bears,MVC
Maya Wong,7.5,0.609,0.64,Illinois State Redbirds,MVC
Katelyn Young,6.9,0.624,0.69,Murray State Racers,MVC
Soleil Barnes,6.3,0.645,0.69,Bradley Braves,MVC
Doneelah Washington,4.8,0.66,0.67,Illinois State Redbirds,MVC
Raeven Raye-Redmong,4.7,0.673,0.76,Valparaiso University,MVC
Tuti Jones,7.6,0.689,0.83,Belmont Bruins,MVC
Jacee Busick,3.1,0.693,0.75,Belmont Bruins,MVC
Arin Freeman,5.1,0.704,0.74,Illinois-Chicago Flames,MVC
Claire McDougall,5.9,0.705,0.76,Bradley Braves,MVC
Jailyn Banks,7.5,0.707,0.76,Belmont Bruins,MVC
Elise Jaeger,6.2,0.71,0.84,Northern Iowa Panthers,MVC
Ellie McDermid,6.3,0.71,0.75,Bradley Braves,MVC
Anna Miller,8.6,0.712,0.75,Drake Bulldogs,MVC
Amy O'Hara,6.2,0.724,0.77,Bradley Braves,MVC
Lainie Douglas,3.3,0.726,0.77,Missouri State Lady Bears,MVC
Leah Earnest,7.2,0.73,0.83,Valparaiso University,MVC
Avery Kelley,3.7,0.736,0.74,Evansville Aces,MVC
Kristian Young,4.5,0.74,0.75,Illinois-Chicago Flames,MVC
Lacy Stokes,9.3,0.74,0.82,Missouri State Lady Bears,MVC
Destiny Thomas,4.1,0.743,0.79,Murray State Racers,MVC
Camryn Runner,8.3,0.744,0.86,Evansville Aces,MVC
Addison Martin,8.0,0.749,0.83,Illinois State Redbirds,MVC
Sandra Frau-Garcia,5.5,0.758,0.84,Illinois-Chicago Flames,MVC
Paige Rocca,7.3,0.763,0.8,Missouri State Lady Bears,MVC
Shateah Wetering,5.0,0.768,0.86,Northern Iowa Panthers,MVC
Kendal Cheesman,6.5,0.768,0.83,Belmont Bruins,MVC
Saige Stahl,5.1,0.773,0.84,Indiana State Sycamores,MVC
Keslyn Secrist,7.2,0.785,0.87,Indiana State Sycamores,MVC
Haven Ford,7.9,0.785,0.87,Murray State Racers,MVC
Maggie Hartwig,9.0,0.786,0.85,Evansville Aces,MVC
Jaolia Palomo,6.5,0.789,0.85,Evansville Aces,MVC
Layla Gold,6.0,0.791,0.91,Valparaiso University,MVC
Sanaa Tripp,3.3,0.792,0.97,Belmont Bruins,MVC
Taryn Wharton,5.3,0.794,0.89,Northern Iowa Panthers,MVC
Kaemyn Bekemeier,6.8,0.798,0.83,Missouri State Lady Bears,MVC
Emily La Chapell,7.8,0.8,0.86,Belmont Bruins,MVC
Gift Uchenna,6.4,0.803,0.84,Southern Illinois Salukis,MVC
Krystyna Ellew,4.2,0.813,0.87,Illinois-Chicago Flames,MVC
Danyel Middleton,6.1,0.814,0.86,Illinois-Chicago Flames,MVC
Naveah Jackson,7.1,0.815,0.94,Valparaiso University,MVC
Bella Finnegan,6.0,0.819,0.91,Indiana State Sycamores,MVC
Chloe Williams,8.3,0.82,0.9,Indiana State Sycamores,MVC
Ryley Goebel,7.1,0.822,0.88,Northern Iowa Panthers,MVC
Mia Simpson,6.6,0.822,0.88,Indiana State Sycamores,MVC
Grace Knutson,3.0,0.825,0.98,Drake Bulldogs,MVC
Kaylen Nelson,4.7,0.826,0.87,Bradley Braves,MVC
Se'Quola Allmond,4.6,0.826,0.94,Southern Illinois Salukis,MVC
Queen Ruffin,3.5,0.827,0.93,Indiana State Sycamores,MVC
Katie Beyer,4.2,0.828,0.95,Valparaiso University,MVC
Halli Poock,5.7,0.831,0.91,Murray State Racers,MVC
Maya Mcdermott,6.6,0.834,0.92,Northern Iowa Panthers,MVC
Kendall Holmes,5.8,0.838,0.88,Belmont Bruins,MVC
Katie Dinnebier,9.3,0.839,0.93,Drake Bulldogs,MVC
Sarah Linthacum,6.6,0.844,0.95,Missouri State Lady Bears,MVC
Keimari Rimmer,5.5,0.847,0.94,Illinois-Chicago Flames,MVC
Savannah White,5.9,0.854,0.91,Indiana State Sycamores,MVC
Maci Rhoades,6.5,0.857,0.94,Valparaiso University,MVC
Sara Zabrecky,4.0,0.857,0.85,Illinois-Chicago Flames,MVC
Trista Fayta,3.9,0.858,0.86,Illinois State Redbirds,MVC
Emerson Green,6.3,0.859,0.87,Northern Iowa Panthers,MVC
Kayba Laube,7.9,0.862,0.95,Northern Iowa Panthers,MVC
Carmyn Harrison,5.1,0.864,0.87,Belmont Bruins,MVC
Nevaeh Thomas,6.9,0.867,1.0,Illinois State Redbirds,MVC
Deja Jones,8.2,0.874,0.92,Indiana State Sycamores,MVC
Tamesha Dozier,3.9,0.886,0.95,Evansville Aces,MVC
Abbie Aalsma,6.6,0.889,0.93,Drake Bulldogs,MVC
Kiley Bess,5.4,0.895,1.04,Missouri State Lady Bears,MVC
Kaiden Kreinhagen,4.5,0.896,0.91,Evansville Aces,MVC
Shannon Fornshell,4.3,0.897,0.85,Drake Bulldogs,MVC
Makiyah Williams,4.2,0.897,0.95,Illinois-Chicago Flames,MVC
Mor Shabtai,4.9,0.899,1.02,Valparaiso University,MVC
Tamia Perryman,5.4,0.899,0.96,Bradley Braves,MVC
Fiona Connolly,4.5,0.901,0.91,Valparaiso University,MVC
Grace Boffeli,7.3,0.909,0.95,Northern Iowa Panthers,MVC
Ruba Abo Hashesh,5.4,0.91,1.0,Bradley Braves,MVC
Briley Pena,6.7,0.916,1.0,Murray State Racers,MVC
Elyce Knudsen,7.2,0.926,0.98,Illinois State Redbirds,MVC
Tkiyah Nelson,6.4,0.927,1.0,Southern Illinois Salukis,MVC
Trinity White,5.0,0.933,1.05,Murray State Racers,MVC
Shannon Dowell,8.0,0.941,1.06,Illinois State Redbirds,MVC
Logan Luebbers Palmer,5.3,0.945,1.0,Evansville Aces,MVC
Kayla Cooper,6.6,0.953,1.0,Southern Illinois Salukis,MVC
Courtney Becker,6.4,0.954,1.0,Drake Bulldogs,MVC
Isabella Palmqvist,6.7,0.965,1.01,Southern Illinois Salukis,MVC
Davina Smith,3.2,0.967,1.0,Indiana State Sycamores,MVC
Jaida McCloud,4.8,0.981,1.09,Illinois-Chicago Flames,MVC
Ava Hawthorne,5.1,0.983,1.03,Drake Bulldogs,MVC
Claudia Clement,4.3,0.985,1.04,Evansville Aces,MVC
Ava Learn,6.7,1.005,1.07,Murray State Racers,MVC
Tyranny Brown,4.1,1.008,1.06,Southern Illinois Salukis,MVC
Elle Snyder,5.1,1.012,1.0,Evansville Aces,MVC
Alice Curman,5.1,1.051,1.11,Southern Illinois Salukis,MVC
Kyle Norkus,8.8,1.057,1.24,Evansville Aces,MVC
Ky Dempsey-Toney,3.4,1.097,1.26,Illinois-Chicago Flames,MVC
